step,total_loss,sigreg_proxy_loss,pred_loss,learning_rate,grad_norm_post
10801,1.153502e-05,1.101227e-05,5.227502e-07,2.723020e-04,1.056013e-02
10901,9.088439e-06,8.747869e-06,3.405698e-07,2.717531e-04,7.215893e-03
11001,9.351467e-06,8.259044e-06,1.092423e-06,2.711994e-04,5.936917e-03
11101,4.354091e-06,4.123900e-06,2.301912e-07,2.706409e-04,1.019188e-03
11201,4.431078e-06,3.940997e-06,4.900808e-07,2.700777e-04,2.437157e-03
11301,8.664951e-06,8.217307e-06,4.476440e-07,2.695098e-04,1.455377e-03
11401,4.123706e-06,3.720294e-06,4.034125e-07,2.689371e-04,2.301608e-03
11501,1.742792e-05,1.702076e-05,4.071573e-07,2.683598e-04,7.489195e-03
11601,2.733841e-05,2.568627e-05,1.652144e-06,2.677778e-04,1.475233e-02
11701,1.754112e-05,1.725379e-05,2.873318e-07,2.671911e-04,3.109741e-04
11801,1.087029e-06,9.310857e-07,1.559433e-07,2.665999e-04,7.264183e-04
11901,1.625574e-06,1.041716e-06,5.838576e-07,2.660040e-04,1.987844e-03
12001,5.041291e-07,4.596641e-07,4.446508e-08,2.654036e-04,4.629626e-04
12101,1.375266e-06,1.070995e-06,3.042708e-07,2.647987e-04,3.268021e-03
12201,5.759612e-06,5.442410e-06,3.172020e-07,2.641892e-04,2.137744e-03
12301,4.459599e-06,3.900351e-06,5.592478e-07,2.635753e-04,5.252100e-03
12401,1.136759e-06,9.777871e-07,1.589718e-07,2.629569e-04,2.564508e-03
12501,1.210918e-06,1.162779e-06,4.813877e-08,2.623341e-04,1.192408e-03
12601,2.100782e-06,7.126302e-07,1.388152e-06,2.617068e-04,2.171833e-03
12701,1.063281e-06,7.639111e-07,2.993704e-07,2.610752e-04,1.771906e-03
12801,4.870622e-06,4.520683e-06,3.499390e-07,2.604392e-04,5.074184e-03
12901,1.018050e-05,9.159597e-06,1.020902e-06,2.597988e-04,9.493397e-03
13001,1.371608e-06,1.239303e-06,1.323056e-07,2.591542e-04,2.109854e-03
13101,1.379128e-05,1.345135e-05,3.399227e-07,2.585053e-04,1.015578e-02
13201,1.060674e-05,8.833136e-06,1.773602e-06,2.578521e-04,4.316422e-03
13301,4.981361e-06,4.775317e-06,2.060437e-07,2.571947e-04,2.116588e-03
13401,3.297008e-06,3.166813e-06,1.301948e-07,2.565331e-04,4.744393e-04
13501,8.725477e-06,5.652549e-06,3.072928e-06,2.558673e-04,2.501148e-03
13601,1.184819e-06,1.098757e-06,8.606180e-08,2.551974e-04,1.134545e-03
13701,6.844278e-06,6.444972e-06,3.993054e-07,2.545233e-04,8.200710e-04
13801,5.594358e-06,5.040212e-06,5.541460e-07,2.538452e-04,6.065261e-03
13901,2.859316e-06,2.179308e-06,6.800083e-07,2.531630e-04,2.138117e-03
14001,2.151283e-06,2.024471e-06,1.268119e-07,2.524767e-04,3.105485e-03
14101,5.213003e-06,4.863818e-06,3.491847e-07,2.517865e-04,1.052830e-03
14201,1.633545e-06,1.467736e-06,1.658095e-07,2.510923e-04,2.168989e-03
14301,8.911206e-06,8.035395e-06,8.758104e-07,2.503941e-04,5.528500e-03
14401,2.549315e-06,2.343036e-06,2.062786e-07,2.496920e-04,8.589399e-04
14501,1.544087e-06,1.499787e-06,4.430016e-08,2.489860e-04,3.272758e-03
14601,5.919894e-06,5.663197e-06,2.566978e-07,2.482762e-04,2.887772e-04
14701,4.961659e-07,4.289848e-07,6.718119e-08,2.475625e-04,6.492579e-04
14801,6.338912e-06,6.084944e-06,2.539688e-07,2.468450e-04,1.356884e-03
14901,3.748013e-06,3.445968e-06,3.020456e-07,2.461238e-04,9.445354e-04
15001,2.323897e-06,2.186967e-06,1.369297e-07,2.453988e-04,2.255260e-03
15101,3.628381e-06,3.397660e-06,2.307216e-07,2.446700e-04,3.417375e-03
15201,2.375985e-06,2.250435e-06,1.255509e-07,2.439376e-04,1.292005e-03
15301,3.064741e-06,2.503649e-06,5.610918e-07,2.432016e-04,2.881440e-03
15401,1.551516e-06,1.423308e-06,1.282080e-07,2.424619e-04,2.204621e-03
15501,2.774052e-06,2.571976e-06,2.020768e-07,2.417186e-04,2.433553e-03
15601,3.873627e-06,3.798092e-06,7.553485e-08,2.409717e-04,2.348791e-04
15701,2.937746e-06,2.194694e-06,7.430518e-07,2.402213e-04,4.230020e-03
15801,1.518173e-06,8.750399e-07,6.431326e-07,2.394675e-04,1.097007e-03
15901,7.959858e-06,7.698963e-06,2.608954e-07,2.387101e-04,8.160355e-04
16001,1.199313e-05,1.072994e-05,1.263193e-06,2.379493e-04,1.023819e-02
16101,4.320680e-06,4.126164e-06,1.945160e-07,2.371851e-04,3.390282e-03
16201,1.145698e-05,1.120736e-05,2.496170e-07,2.364175e-04,9.884624e-03
16301,9.516986e-07,8.017868e-07,1.499117e-07,2.356466e-04,5.205114e-04
16401,4.187703e-06,3.648648e-06,5.390550e-07,2.348723e-04,5.197929e-03
16501,6.677940e-06,6.436044e-06,2.418957e-07,2.340948e-04,1.196120e-03
16601,5.111838e-06,4.477739e-06,6.340984e-07,2.333140e-04,1.051539e-03
16701,5.682858e-06,5.047623e-06,6.352354e-07,2.325300e-04,3.192183e-03
16801,1.360267e-06,1.220654e-06,1.396121e-07,2.317428e-04,1.672150e-03
16901,4.254749e-06,3.857504e-06,3.972445e-07,2.309524e-04,4.230559e-03
17001,4.796247e-06,4.699090e-06,9.715643e-08,2.301590e-04,4.061682e-03
17101,1.353460e-05,1.301402e-05,5.205798e-07,2.293624e-04,1.197938e-03
17201,2.165550e-06,1.918505e-06,2.470447e-07,2.285628e-04,2.198148e-03
17301,2.081967e-06,1.994342e-06,8.762482e-08,2.277602e-04,7.861090e-04
17401,3.844358e-06,3.276748e-06,5.676095e-07,2.269545e-04,3.703946e-03
17501,5.013762e-06,4.933486e-06,8.027653e-08,2.261459e-04,5.590403e-03
17601,1.497422e-06,1.395110e-06,1.023123e-07,2.253344e-04,1.871302e-03
17701,4.120851e-06,3.588797e-06,5.320537e-07,2.245200e-04,3.173688e-03
17801,4.929732e-06,4.840130e-06,8.960177e-08,2.237028e-04,5.430316e-03
17901,1.856818e-06,1.292164e-06,5.646543e-07,2.228827e-04,1.830140e-03
18001,2.719871e-06,2.546751e-06,1.731205e-07,2.220598e-04,4.128784e-03
18101,1.954577e-06,1.431914e-06,5.226625e-07,2.212342e-04,9.844854e-04
18201,2.150646e-05,1.995088e-05,1.555583e-06,2.204058e-04,9.980280e-03
18301,1.248931e-06,8.591655e-07,3.897658e-07,2.195748e-04,2.987588e-03
18401,1.844808e-06,1.675981e-06,1.688272e-07,2.187411e-04,7.975100e-04
18501,6.110565e-06,5.816357e-06,2.942080e-07,2.179048e-04,6.739794e-03
18601,6.896722e-06,6.651604e-06,2.451174e-07,2.170659e-04,2.217458e-03
18701,5.643012e-06,5.344053e-06,2.989589e-07,2.162244e-04,1.704260e-03
